word,frequency,class
take , 162 , 1
tamper , 31 , 1
target , 3 , 0
tear , 2 , 0
tenant , 116 , 2
territory , 0 , 2
theft , 300 , 1
thief , 9 , 1
threat , 2 , 0
threaten , 6 , 1
throw , 15 , 0
tight , 0 , 0
torment , 0 , 3
torture , 18 , 3
torture , 7 , 0
toxin , 0 , 0
trash , 0 , 3
trespass , 20 , 2
trick , 0 , 1
trouble , 4 , 3
unauthorized , 0 , 2
unbearable , 3 , 3
uncle , 0 , 2
unconscious , 0 , 3
undiagnosed , 0 , 0
undress , 0 , 3
unnatural , 20 , 3
unwelcome , 4 , 3
usurpation , 0 , 1
usurpation , 0 , 2
vandalism , 0 , 1
vehicle , 2 , 1
violation , 13 , 3
violent , 20 , 1
weapon , 32 , 0
witness , 95 , 0
women , 36 , 3
work , 57 , 3
worry , 0 , 3
